PropertyID,Address,Latitude,Longitude,Country,State,County,City,Neighborhood,Intersection
289,5250 Town & Country Boulevard,33.08898,-96.84454,US,TX,,Frisco,,
11335681,1382 West Farm-to-Market 1382,32.61632,-96.97269,US,TX,,Cedar Hill,,
11335733,287 West Avenue G,32.48226,-96.99553,US,TX,,Midlothian,,
11435752,365 Highway 365,29.92656,-94.01434,US,TX,,Port Arthur,,
11535558,80 Blanco River Ranch Road,29.93567,-97.90382,US,TX,,San Marcos,,
3561,8877 Lakes At 610 Drive,29.6754,-95.41792,US,TX,,Houston,,
12336,306 Farm-to-Market 306,29.73218,-98.08184,US,TX,,New Braunfels,,
91108,1600 East 11th Street,30.26762,-97.72423,US,TX,,Austin,,
100,1600 Rosharon Road,29.40706,-95.25769,US,TX,,Alvin,,
109,700 Hamsted Street,32.66591,-97.33249,US,TX,,Fort Worth,,
1031,2001 Avenue F,29.20806,-96.28125,US,TX,,El Campo,,
1070,1000 US Highway 77 Business,26.13035,-97.61915,US,TX,,San Benito,,
1130,9850 J.M. Hester Street,29.9993,-95.27348,US,TX,,Humble,,
1459,6585 McCallum Boulevard,32.9862,-96.79307,US,TX,,Dallas,,
2011,709 Grand Court,32.72263,-97.11641,US,TX,,Arlington,,
2104,2809 Northaven Road,32.90387,-96.88251,US,TX,,Dallas,,
2463,4301 West Walnut Street,32.91744,-96.69786,US,TX,,Garland,,
3161,13660 C.F. Hawn Freeway,32.67363,-96.60166,US,TX,,Dallas,,
44,3800 Portland Street,32.85861,-97.00424,US,TX,,Irving,,
59,6543 Hogue Street,29.66831,-95.31227,US,TX,,Houston,,
81,15427 Addicks Stone Drive,29.72267,-95.66024,US,TX,,Houston,,
129,2805 Arbor Cove Drive,26.16505,-98.03488,US,TX,,Donna,,
195,7650 McCallum Boulevard,32.98767,-96.77555,US,TX,,Dallas,,
223,10749 East Northwest Highway,32.86476,-96.69818,US,TX,,Dallas,,
266,6003 Bay Island Drive,32.86058,-96.54133,US,TX,,Garland,,
308,1407 15th Place,33.02098,-96.69392,US,TX,,Plano,,
417,929 Rockmead Drive,30.05392,-95.24082,US,TX,,Houston,,
419,965 North Garden Ridge Boulevard,33.05508,-97.0346,US,TX,,Lewisville,,
424,2016 L Don Dodson Drive,32.84061,-97.13475,US,TX,,Bedford,,
428,7520 Glenview Drive,32.82285,-97.21674,US,TX,,Richland Hills,,
449,1000 Brookview Drive,31.11377,-97.9056,US,TX,,Copperas Cove,,
483,2001 Slayden Street,31.69343,-98.97904,US,TX,,Brownwood,,
541,217 East Interstate 30,32.84776,-96.57754,US,TX,,Garland,,
555,500 Andrews Avenue,32.74092,-96.88211,US,TX,,Cockrell Hill,,
559,3001 South Center Street,32.69563,-97.10723,US,TX,,Arlington,,
574,1701 Canyon Circle,25.93471,-97.43443,US,TX,,Brownsville,,
648,14510 Compass Street,27.61868,-97.22287,US,TX,,Corpus Christi,,
702,4073 Brown Street,32.44151,-96.79813,US,TX,,Waxahachie,,
736,6718 De Moss Drive,29.70872,-95.50218,US,TX,,Houston,,
764,3001 Daffodil Avenue,26.23374,-98.25009,US,TX,,McAllen,,
844,3850 West Northwest Highway,32.86182,-96.85183,US,TX,,Dallas,,
845,13301 Galleria Place,32.92931,-96.82526,US,TX,,Farmers Branch,,
874,5930 Arapaho Road,32.96054,-96.80824,US,TX,,Dallas,,
924,9050 Markville Drive,32.91281,-96.74771,US,TX,,Dallas,,
992,350 Vista Court Drive,33.00024,-96.6698,US,TX,,Plano,,
1145,5555 56th Street,33.5426,-101.93323,US,TX,,Lubbock,,
1191,2401 L Don Dodson Drive,32.84182,-97.12688,US,TX,,Bedford,,
1197,175 Kimberly Drive,32.6622,-96.57002,US,TX,,Seagoville,,
1220,100 La Herencia,26.16321,-97.94973,US,TX,,Mercedes,,
1327,2008 North Interstate 35,33.64875,-97.15497,US,TX,,Gainesville,,
1378,908 North Bishop Avenue,32.75416,-96.82749,US,TX,,Dallas,,
1394,5021 Manett Street,32.81486,-96.78303,US,TX,,Dallas,,
1423,15510 Ranch Road 620 North,30.4856,-97.73629,US,TX,,Brushy Creek,,
1460,6585 McCallum Boulevard,32.9862,-96.79307,US,TX,,Dallas,,
1529,14703 Mittlestedt Champions Drive,29.99307,-95.51496,US,TX,,Houston,,
1632,2511 Golf Course Road,27.49088,-97.84009,US,TX,,Kingsville,,
1747,131 West Parker Road,29.85921,-95.39848,US,TX,,Houston,,
1862,635 Business Highway 290 North,30.09401,-96.06047,US,TX,,Hempstead,,
1865,1017 Skylark Road,29.67271,-95.22096,US,TX,,Pasadena,,
1996,420 North Expressway,25.92894,-97.49086,US,TX,,Brownsville,,
1997,21100 North Old Highway 81,30.00397,-97.86641,US,TX,,Kyle,,
2062,2761 Northaven Road,32.90387,-96.88405,US,TX,,Dallas,,
2087,2510 East Highway 83 Business,26.20969,-98.27977,US,TX,,Mission,,
2217,10000 Broadway Street,29.55605,-95.37493,US,TX,,Pearland,,
2218,401 East Camellia Avenue,26.22831,-98.2112,US,TX,,McAllen,,
2225,9900 North Sam Houston Parkway East,29.93401,-95.23963,US,TX,,Houston,,
2243,1650 East Lucas Drive,30.12836,-94.11496,US,TX,,Beaumont,,
2262,1000 Danville Road,32.37947,-94.8332,US,TX,,Kilgore,,
2382,5146 Vandelia Street,32.82248,-96.82385,US,TX,,Dallas,,
2411,5317 Northway Drive,31.65643,-94.64651,US,TX,,Nacogdoches,,
2445,11321 Woodmeadow Parkway,32.85229,-96.64765,US,TX,,Dallas,,
2575,951 Greenside Drive,32.99985,-96.73893,US,TX,,Richardson,,
2639,3300 Towers Boulevard,29.58149,-95.02477,US,TX,,Seabrook,,
2827,1233 Cavender Drive,32.83285,-97.17343,US,TX,,Hurst,,
2839,411 South Union Street,29.57838,-95.76733,US,TX,,Richmond,,
2892,3200 West Pioneer Drive,32.82846,-96.99074,US,TX,,Irving,,
3138,4050 North Belt Line Road,32.86246,-96.99096,US,TX,,Irving,,
3143,1519 Copeland Street,31.31459,-94.75257,US,TX,,Lufkin,,
11311193,5038 Old Jacksboro Highway,33.8549,-98.49478,US,TX,,Wichita Falls,,
11311334,764 Marlandwood Road,31.06339,-97.36305,US,TX,,Temple,,
11322061,4200 Shepherd Lane,32.71213,-96.61362,US,TX,,Balch Springs,,
11322231,1700 Marlandwood Road,31.0659,-97.37263,US,TX,,Temple,,
11322233,3745 Summer Crest Drive,31.42541,-100.51805,US,TX,,San Angelo,,
11335373,121 East State Highway 121,33.03252,-96.9926,US,TX,,Lewisville,,
11335523,500 Rockingham Drive,32.96546,-96.7358,US,TX,,Richardson,,
11335603,3000 Alemeda Street,32.72897,-97.48467,US,TX,,Fort Worth,,
11335630,417 Frankston Street,31.97351,-95.28082,US,TX,,Jacksonville,,
11335688,8200 Clarksprings Drive,32.66737,-96.93975,US,TX,,Dallas,,
11335694,5 State Highway 5 North,33.38895,-96.56061,US,TX,,Anna,,
11335706,7628 South Soncy Road,35.13101,-101.94152,US,TX,,Amarillo,,
11335844,2200 Legacy Lane,31.08001,-97.46263,US,TX,,Belton,,
11338012,1200 Crestcove Drive,32.9432,-96.48555,US,TX,,Rockwall,,
11411347,23473 Partners Way,30.10708,-95.24541,US,TX,,Porter,,
11411365,19015 West Road,29.9075,-95.6982,US,TX,,Cypress,,
